id,title,englishTitle,score
46471,"Tantei wa Mou, Shindeiru.","The Detective Is Already Dead",6.37
43969,"Kanojo mo Kanojo","Girlfriend, Girlfriend",6.54
44203,"Seirei Gensouki","Seirei Gensouki: Spirit Chronicles",7.06
40904,"Bokutachi no Remake","Remake Our Life!",7.41
48849,"Sonny Boy","Sonny Boy",7.77
48753,"Jahy-sama wa Kujikenai!","The Great Jahy Will Not Be Defeated!",7.05
44200,"Boku no Hero Academia the Movie 3: World Heroes' Mission","My Hero Academia: World Heroes' Mission",7.58
42282,"Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X","My Next Life as a Villainess: All Routes Lead to Doom! X",7.25
47257,"Shinigami Bocchan to Kuro Maid","The Duke of Death and His Maid",7.61
40620,"Uramichi Oniisan","Life Lessons with Uramichi-Oniisan",7.69
39175,"Cider no You ni Kotoba ga Wakiagaru","Words Bubble Up Like Soda Pop",7.41
42340,"Meikyuu Black Company","The Dungeon of Black Company",7.26
43814,"Deatte 5-byou de Battle","Battle Game in 5 Seconds",6.76
41812,"Megami-ryou no Ryoubo-kun.","Mother of the Goddess' Dormitory",6.52
42625,"Heion Sedai no Idaten-tachi","The Idaten Deities Know Only Peace",7.64
42627,"Peach Boy Riverside","Peach Boy Riverside",6.25
46093,"Shiroi Suna no Aquatope","The Aquatope on White Sand",7.51
44881,"100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season","I’m Standing on a Million Lives Season 2",6.8
44807,"Ryuu to Sobakasu no Hime","Belle",7.52
44931,"Tonikaku Kawaii: SNS","TONIKAWA: Over The Moon For You - SNS",8.07
40960,"Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore","Drug Store in Another World: The Slow Life of a Cheat Pharmacist",6.47
45572,"Mahouka Koukou no Yuutousei","The Honor Student at Magic High School",6.65
42940,"Hanma Baki: Son of Ogre","Baki Hanma",7.66
48406,"Re-Main","RE-MAIN",7.2
48488,"Higurashi no Naku Koro ni Sotsu","Higurashi: When They Cry – SOTSU",6.73
49605,"Ganbare Douki-chan","null",6.54
48492,"Scarlet Nexus","Scarlet Nexus",5.68
49357,"Star Wars: Visions","Star Wars: Visions",7.11
43691,"Kageki Shoujo!!","Kageki Shojo!!",7.75
46420,"Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi","The Seven Deadly Sins Movie 2: Cursed By Light",7.13
40434,"Mo Dao Zu Shi: Wanjie Pian","The Founder of Diabolism Season 3",8.55
41497,"Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon","Fate/Grand Order: Final Singularity - Grand Temple of Time: Solomon",7.79
48438,"Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi","The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm",7.57
41169,"Love Live! Superstar!!","Love Live! SuperStar!!",7.96
49854,"Getsuyoubi no Tawawa 2","Tawawa on Monday 2",6.64
41530,"Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya","Magia Record: Puella Magi Madoka Magica Side Story Season 2 - The Eve of Awakening",6.97
38400,"Free! Movie 4: The Final Stroke - Zenpen","null",7.73
43767,"Night Head 2041","Night Head 2041",6.51
48641,"Obey Me!","Obey Me!",7.19
44586,"Kakushigoto Movie","null",7.67
49483,"Mini Dragon Specials","Miss Kobayashi's Dragon Maid S Short Animation Series",7.46
42030,"Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo","Fate/kaleid Liner Prisma Illya: Licht Nameless Girl",7.19
49297,"Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi","null",6.34
48470,"D_Cide Traumerei the Animation","D_Cide Traumerei the Animation",5.81
48941,"Quanzhi Fashi V","null",7.29
49457,"Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA","My Next Life as a Villainess: All Routes Lead to Doom! X: I Met My Destined One...",6.84
45577,"IDOLiSH7 Third Beat!","IDOLISH7 Third BEAT!",8.21
48252,"Ore, Tsushima","I, Tsushima",6.96
48755,"Imaizumin Chi wa Douyara Gal no Tamariba ni Natteru Rashii","null",7.85
46701,"Yubisaki kara Honki no Netsujou 2: Koibito wa Shouboushi","Fire in His Fingertips 2: My Boyfriend is a Fireman",6.28
49287,"Fumetsu no Anata e: Fushi no Tabiji","null",6.74
49730,"Pokemon Evolutions","Pokémon Evolutions",7.42
42976,"Biohazard: Infinite Darkness","null",6.23
41140,"Princess Principal: Crown Handler Movie 2","Princess Principal: Crown Handler - Chapter 2",7.71
41471,"Kiniro Mosaic: Thank You!!","null",7.5
49550,"Bokutachi no Remake Recap","Remake Our Life! Recap",6.18
43755,"Misaki no Mayoiga","The House of the Lost on the Cape",6.76
49915,"Yi Ren Zhi Xia 4th season","null",6.86
49110,"Yami Shibai 9","Theatre of Darkness: Yamishibai 9",5.86
